"target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"Tfru12340_t",0.00236537137321945,0.0087156197907056,9.24191746304805,4.25573970107387,1,4.70111715836499,0.851147940214774,0.0148013615235864,0.836346578691188,0.0618479525914665,0.836346578691188
"Tfru11911_t",0.00236739045055845,0.00871897917183521,9.24035506098238,0.23121060923877,1,6.46890339151327,0.0462421218477539,0.00179817669791107,0.0444439451498428,0.0515166106727508,0.0515166106727508
"Tfru15365_t",0.00236734393044982,0.00871897917183521,9.24039104394524,0.532078767662544,1,4.62772807418426,0.106415753532509,0.00890838731136459,0.0975073662211443,0.0642419545751832,0.0975073662211443
"Tfru24120_t",0.00236760997853365,0.00871897917183521,9.24018526738406,7.36825371027955,1,2.37319967503298,1.47365074205591,0.15629585357083,1.31735488848508,0.356178263384515,1.31735488848508
"Tfru10147_t",0.00236975388906049,0.008725244380846,9.23852790212847,1.6127040476876,1,3.12618019573027,0.322540809537521,0.0514996114034302,0.271041198134091,0.173901816907153,0.271041198134091
"Tfru20928_t",0.00237145434821045,0.00872987480229179,9.23721443165458,0.38885748453253,1,5.73126113733916,0.0777714969065057,0.00347608605955877,0.0742954108469473,0.0481141315737906,0.0742954108469473
"Tfru26035_t",0.00237262162292428,0.00873254108527004,9.23631335710477,0.238605265042288,1,5.31519091482113,0.0477210530084574,0.00526042336872899,0.0424606296397286,0.0505967994566153,0.0505967994566153
"Tfru03876_t",0.0023738411834235,0.00873539877708183,9.23537240104027,0.275060763876467,1,6.91451685140579,0.0550121527752941,0.00111018820096415,0.0539019645743292,0.0579433069901815,0.0579433069901815
"Tfru23001_t",0.00237433967108222,0.00873560245166925,9.2349879323987,1.41375261194985,1,4.26730831540233,0.282750522389969,0.0165508438431378,0.266199678546832,0.0793929826988552,0.266199678546832
"Tfru03558_t",0.00237626307966304,0.0087400970541654,9.23350523210968,1.47998415944608,1,3.46648155428511,0.295996831889215,0.0327555243004348,0.263241307588781,0.136037045487897,0.263241307588781
"Tfru27812_t",0.00237644803988873,0.0087400970541654,9.23336271578409,0.158459047311419,1,6.86573413212584,0.0316918094622836,0.00102433877401632,0.0306674706882674,0.0571536890823238,0.0571536890823238
"Tfru09487_t",0.00237753309796045,0.00874091403872924,9.23252687892231,1.065979005506,1,6.17868128319135,0.2131958011012,0.00233300074296055,0.210862800358239,0.048745296395874,0.210862800358239
"Tfru12901_t",0.00237755699668575,0.00874091403872924,9.23250847372465,0.234944527210651,1,5.46060298254379,0.0469889054421303,0.00402490478044307,0.0429640006616871,0.0493494325389946,0.0493494325389946
"Tfru29901_t",0.00238017149035154,0.00874889438547453,9.23049609856754,0.144111819852275,1,6.65322419746227,0.0288223639704549,0.00128410804406598,0.027538255926389,0.0539668686214001,0.0539668686214001
"Tfru27358_t",0.00238347513091743,0.0087594044100998,9.22795649246804,0.486089041214845,1,4.24138271033961,0.0972178082429695,0.0159174937507855,0.0813003144921835,0.0806496574845947,0.0813003144921835
"Tfru00872_t",0.00238447860020543,0.00876145883426835,9.22718580316247,0.166134657169205,1,6.08755996310618,0.0332269314338408,0.00226813951037338,0.0309587919234676,0.0482837493032088,0.0482837493032088
"Tfru01672_t",0.00239070916841311,0.00877944296515045,9.22240792519976,0.185410000102202,1,5.45575900932216,0.0370820000204402,0.00447401783727526,0.0326079821831652,0.0493829250692187,0.0493829250692187
"Tfru15944_t",0.00238984604215769,0.00877944296515045,9.22306905452855,2.10682081377841,1,3.31194621905112,0.421364162755683,0.0525734556646152,0.368790707091067,0.151569555432708,0.368790707091067
"Tfru21284_t",0.00239049787079119,0.00877944296515045,9.22256975057333,3.88863712178326,1,3.95417549005047,0.777727424356653,0.0279577425356263,0.749769681821026,0.0971470350325452,0.749769681821026
"Tfru23524_t",0.00239194371115057,0.00878234054347386,9.22146272260339,0.159135183803296,1,6.53093486537314,0.0318270367606592,0.00134892792007167,0.0304781088405875,0.0523101004118523,0.0523101004118523
"Tfru24684_t",0.00239414864165834,0.00878879928733907,9.21977579322796,0.168864451367277,1,5.59394499112664,0.0337728902734552,0.00380527365168355,0.0299676166217718,0.0486038400330026,0.0486038400330026
"Tfru11561_t",0.00239784456639777,0.0088007279719604,9.21695167951436,0.304433126418269,1,5.69145123339821,0.0608866252836535,0.00350261951711477,0.0573840057665391,0.0482336530243163,0.0573840057665391
"Tfru17973_t",0.00240090979792873,0.00881033783443207,9.21461283699441,0.18114941943155,1,6.19145545053122,0.0362298838863099,0.00207977813237388,0.0341501057539361,0.0488248236112679,0.0488248236112679
"Tfru00707_t",0.00240526380083267,0.00881492663765983,9.21129583554999,0.715934781801557,1,6.45283453210913,0.143186956360311,0.00171388049543197,0.141473075864879,0.051316078478167,0.141473075864879
"Tfru04206_t",0.00240289437632762,0.00881492663765983,9.21310017316595,0.738222655649552,1,6.95081444497442,0.14764453112991,0.000869789704221154,0.146774741425689,0.0585454891925707,0.146774741425689
"Tfru10987_t",0.00240497230990931,0.00881492663765983,9.21151771113551,0.721132524522772,1,4.18070500189044,0.144226504904555,0.0159932048666307,0.128233300037924,0.0837341913668396,0.128233300037924
"Tfru13879_t",0.00240477773528937,0.00881492663765983,9.21166583164744,1.04923684794504,1,5.08738148803702,0.209847369589008,0.00668123311908783,0.20316613646992,0.0535227089269594,0.20316613646992
"Tfru20487_t",0.00240407928446213,0.00881492663765983,9.2121976296272,1.31717760474745,1,3.43552623181569,0.263435520949489,0.041247292808235,0.222188228141255,0.138979731856582,0.222188228141255
"Tfru29146_t",0.00240340577725735,0.00881492663765983,9.21271058412116,0.493548689440712,1,6.59125322569895,0.0987097378881418,0.00136777404731386,0.0973419638408285,0.0531117078305351,0.0973419638408285
"Tfru29525_t",0.00240529043696912,0.00881492663765983,9.21127556215105,0.170768473182577,1,5.60567803866737,0.0341536946365154,0.00405119086004729,0.0301025037764682,0.0485525590580194,0.0485525590580194
"Tfru30686_t",0.00240655597646452,0.00881792527212735,9.21031259230157,1.55147205951151,1,5.22394550804785,0.310294411902303,0.0069455804249378,0.303348831477365,0.0516697265100716,0.303348831477365
"Tfru29227_t",0.00240912078340471,0.00882568258748504,9.20836256345792,0.245144844853099,1,5.71605991974246,0.0490289689706197,0.00411713291438402,0.0449118360562358,0.0481579340315788,0.0481579340315788
"Tfru12162_t",0.00241009142413069,0.00882759796430479,9.20762513242553,0.280197604046587,1,5.96384593816796,0.0560395208093171,0.00262467291765869,0.0534148478916586,0.0479407663336321,0.0534148478916586
"Tfru25788_t",0.00241189802862017,0.00883257399929212,9.2062533914679,0.508962637299159,1,6.46343307162227,0.101792527459831,0.00177702298605099,0.100015504473781,0.0514481137822495,0.100015504473781
"Tfru18934_t",0.00241639871390269,0.0088474123044509,9.20284058465043,2.77170924045614,1,3.92860066763063,0.554341848091228,0.0263096681218394,0.528032179969388,0.098850523477619,0.528032179969388
"Tfru29452_t",0.00241797132837272,0.00885152623885079,9.20164961354354,2.12552881567807,1,2.95702074000031,0.425105763135615,0.0556477381582689,0.369458024977345,0.199404504590293,0.369458024977345
"Tfru05256_t",0.00242127628847109,0.00886197910780368,9.19914926349326,0.347110155423898,1,5.07437089974292,0.0694220310847793,0.00620626867836178,0.0632157624064178,0.0537167521731935,0.0632157624064178
